Comments,OK to get fecal sample?,Date of fecal sample,Comments/info from fecal sample visit,Site,Nestbox,Attempt No.,Species,Male ID,Female ID,First Egg Date,First Egg Date Certainty,Clutch Size,Incubation Begins Date,Eggs Hatched,Eggs Failed-to-Hatch,Eggs Abandoned,Eggs Depredated,Eggs Destroyed,Egg Unknown Fate,Brood Size,Hatch Date,HD Observed or Estimated?,Earliest Target Banding Date,Latest Target Banding Date,Date Banded,Nestlings Fledging,Nestlings Perishing,Nestlings Abandoned,Nestlings Depredated,Nestlings Destroyed,BAND numbers of Nestlings,Notes
NA,NA,NA,NA,Mace Blvd,MBNG6,1,TRES,NA,NA,2021-04-20,Estimated,5,2021-04-25,5,0,0,0,0,0,5,2021-05-09,Estimated,2021-05-20,2021-05-22,2021-05-22,5,0,0,0,0,"2631-20658, 2631-20659, 2631-20660, 2631-20661, 2631-20662",NA
NA,NA,NA,NA,Mace Blvd,MBNG6,2,TRES,NA,NA,2021-06-13,Estimated,3,2021-06-16,0,0,2,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA
NA,NA,NA,NA,Mace Blvd,MBNG6,3,TRES,NA,NA,2021-06-26,Estimated,4,2021-06-30,0,0,4,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA
NA,NA,NA,NA,Mace Blvd,MBNG7,1,TRES,NA,NA,2021-05-02,Estimated,5,2021-05-07,5,0,0,0,0,0,5,2021-05-17,Estimated,2021-05-28,2021-05-30,NA,5,0,0,0,0,NA,NA
NA,NA,NA,NA,Mace Blvd,MBNG8,1,WEBL,NA,NA,2021-05-02,Estimated,5,2021-05-07,5,0,0,0,0,0,5,2021-05-17,Estimated,2021-05-30,2021-06-01,NA,4,1,0,0,0,NA,NA
NA,NA,NA,NA,Mace Blvd,MBNG8,2,WEBL,NA,NA,2021-06-23,Confirmed,3,2021-06-26,3,0,0,0,0,0,3,2021-07-09,Estimated,2021-07-22,2021-07-24,NA,2,1,0,0,0,NA,NA
NA,NA,NA,NA,Mace Blvd,MBNG9,1,TRES,NA,NA,2021-04-25,Estimated,5,2021-04-30,5,0,0,0,0,0,5,2021-05-14,Estimated,2021-05-25,2021-05-27,NA,4,1,0,0,0,NA,NA
NA,NA,NA,NA,Mace Blvd,MBNG9,2,TRES,NA,NA,2021-06-12,Estimated,4,2021-06-16,3,1,0,0,0,0,3,2021-06-30,Confirmed,2021-07-11,2021-07-13,NA,NA,NA,NA,0,0,NA,NA
NA,NA,NA,NA,Mace Blvd,MBNR1,1,TRES,NA,NA,2021-05-08,Estimated,5,2021-05-13,5,0,0,0,0,0,5,2021-05-26,Estimated,2021-06-06,2021-06-08,NA,NA,NA,NA,NA,0,NA,NA
NA,NA,NA,NA,Mace Blvd,MBNR2,1,WEBL,NA,NA,2021-05-02,Estimated,5,2021-05-07,5,0,0,0,0,0,5,2021-05-15,Estimated,2021-05-28,2021-05-30,NA,5,0,0,0,0,NA,NA
NA,NA,NA,NA,Mace Blvd,MBNR2,2,WEBL,NA,NA,2021-07-03,Estimated,4,2021-07-07,0,0,4,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA
