band_number,Disposition,Species,Nestbox,Site,Banding Date,Age,How Aged,Sex,How Sexed,Status,Right Wing Chord (mm),Weight (g),Fat Score,Tail Length (mm),Skull Length (mm),Nares-Tip (mm),Tarsus (mm),Initials,Right Leg Color,Left Leg Color,Comments,Blood number,entry_order,color,life_stage
2631-20658,NA,TRES,MBNG6,Mace Boulevard,5/22/2021,L,NN,U,NA,333,43,19,2,11,24.5,4.1,11.7,KL,-,-,NA,-,158,2631-20658,nestling
2631-20659,NA,TRES,MBNG6,Mace Boulevard,5/22/2021,L,NN,U,NA,333,47,20.5,2,12,24.7,4.8,12.1,KL,-,-,NA,-,159,2631-20659,nestling
2631-20660,NA,TRES,MBNG6,Mace Boulevard,5/22/2021,L,NN,U,NA,333,42,14.7,3,10,23.5,4.5,11.7,KL,-,-,NA,-,160,2631-20660,nestling
2631-20661,NA,TRES,MBNG6,Mace Boulevard,5/22/2021,L,NN,U,NA,333,38,12.3,2,7,22.5,4.1,11.7,KL,-,-,NA,-,161,2631-20661,nestling
2631-20662,NA,TRES,MBNG6,Mace Boulevard,5/22/2021,L,NN,U,NA,333,45,19.1,3,11,24.2,4.7,12.4,KL,-,-,NA,-,162,2631-20662,nestling
NA,NA,TRES,MBNG6,Mace Boulevard,5/26/2022,L,NN,U,NA,300,31,14.6,4,4,22.9,3.4,11.6,KL,-,-,Blue,,1215,Blue,nestling
NA,NA,TRES,MBNG6,Mace Boulevard,5/26/2022,L,NN,U,NA,300,29,14.7,4,3,22.6,3.8,11.6,KL,-,-,Purple,,1216,Purple,nestling
NA,NA,TRES,MBNG6,Mace Boulevard,5/26/2022,L,NN,U,NA,300,29,13.8,4,3,23.9,3.3,12.2,KL,-,-,Pink,,1217,Pink,nestling
NA,NA,TRES,MBNG6,Mace Boulevard,5/26/2022,L,NN,U,NA,300,25,12.6,4,2,22.2,3.1,2.3,KL,-,-,Orange,,1218,Orange,nestling
2881-65863,NA,TRES,MBNG6,Mace Boulevard,5/31/2022,L,NN,U,NA,333,54,20,3,16,25.3,4.1,11.5,CP,-,-,Purple,B256,1128,Purple,nestling
2881-65864,NA,TRES,MBNG6,Mace Boulevard,5/31/2022,L,NN,U,NA,333,55,19.5,2,19,25.8,4.4,11.9,CP,-,-,Blue,B257,1129,Blue,nestling
2881-65865,NA,TRES,MBNG6,Mace Boulevard,5/31/2022,L,NN,U,NA,333,52,20,3,17,26.4,4.4,11.1,CP,-,-,Pink,B258,1130,Pink,nestling
2881-65866,NA,TRES,MBNG6,Mace Boulevard,5/31/2022,L,NN,U,NA,333,51,20.2,3,16,25.4,4,12.1,CP,-,-,Orange,,1131,Orange,nestling
2881-65931,NA,TRES,MBNG6,Mace Boulevard,7/6/2023,SY,PL,F,BP,333,105,16.2,2,54,27.5,5.4,12.2,KL,-,-,,B546,1940,2881-65931,adult
NA,NA,TRES,MBNG6,Mace Boulevard,7/6/2023,L,NN,U,NA,300,19,11.5,4,0,20.4,3.1,10.7,RK,-,-,Pink,,2027,Pink,nestling
NA,NA,TRES,MBNG6,Mace Boulevard,7/6/2023,L,NN,U,NA,300,22,13.6,4,1,21.5,3.3,10.9,RK,-,-,Green,,2028,Green,nestling
NA,NA,TRES,MBNG6,Mace Boulevard,7/6/2023,L,NN,U,NA,300,20,11.2,4,0,21.1,3.1,11.3,RK,-,-,Blue,,2029,Blue,nestling
NA,NA,TRES,MBNG6,Mace Boulevard,7/6/2023,L,NN,U,NA,300,24,14.5,4,2,21.7,3.5,11.7,RK,-,-,Orange,,2030,Orange,nestling
2881-65861,NA,TRES,MBNG6,Mace Boulevard,7/6/2023,AHY,PL,M,CP,333,115,17.4,2,50,28.3,5.4,12.9,RK,-,-,,,2094,2881-65861,adult
2881-65940,NA,TRES,MBNG6,Mace Boulevard,7/12/2023,L,NN,U,NA,333,48,18.9,4,16,24.9,4.2,12,RK,-,-,Green,B565,1949,Green,nestling
2881-65941,NA,TRES,MBNG6,Mace Boulevard,7/12/2023,L,NN,U,NA,333,47,18.8,4,16,25.1,4,12.2,RK,-,-,Blue,B566,1950,Blue,nestling
2881-65942,NA,TRES,MBNG6,Mace Boulevard,7/12/2023,L,NN,U,NA,333,45,16.8,4,12,24.3,4.1,11.8,RK,-,-,Pink,B567,1951,Pink,nestling
2881-65943,NA,TRES,MBNG6,Mace Boulevard,7/12/2023,L,NN,U,NA,333,50,19.1,4,20,24.8,4.2,12.4,RK,-,-,Orange,,1952,Orange,nestling
2881-65867,NA,TRES,MBNG7,Mace Boulevard,5/31/2022,AHY,PL,F,BP,333,103,16.7,2,51,26.8,4.8,11.5,KL,-,-,,B259,1132,2881-65867,adult
NA,NA,TRES,MBNG7,Mace Boulevard,5/31/2022,L,NN,U,NA,300,14,8.6,3,0,18.6,2.1,8.4,CP,-,-,Blue,,1224,Blue,nestling
NA,NA,TRES,MBNG7,Mace Boulevard,5/31/2022,L,NN,U,NA,300,13,7.6,3,0,18.5,3,7.6,CP,-,-,Purple,,1225,Purple,nestling
2881-65874,NA,TRES,MBNG7,Mace Boulevard,6/9/2022,L,NN,U,NA,333,58,20.4,4,21,25,4.3,12.6,SM,-,-,Purple,B276,1139,Purple,nestling
2881-65875,NA,TRES,MBNG7,Mace Boulevard,6/9/2022,L,NN,U,NA,333,60,20.1,4,23,25.8,4.6,12.1,SM,-,-,Blue,B277,1140,Blue,nestling
NA,NA,WEBL,MBNG8,Mace Boulevard,7/15/2021,L,NN,U,NA,300,19,15.8,3,0,24.3,3.1,15.1,KG,-,-,Pink,-,512,Pink,nestling
NA,NA,WEBL,MBNG8,Mace Boulevard,7/15/2021,L,NN,U,NA,300,18,16,3,0,24.5,3.3,15.2,KG,-,-,Purple,-,513,Purple,nestling
NA,NA,WEBL,MBNG8,Mace Boulevard,7/15/2021,L,NN,U,NA,300,8,4.4,1,0,19.4,2,9.5,KG,-,-,Blue,-,514,Blue,nestling
NA,NA,WEBL,MBNG8,Mace Boulevard,7/22/2021,L,NN,U,NA,300,50,26,2,16,29.7,4.9,22.8,KG,-,-,Pink,-,535,Pink,nestling
NA,NA,WEBL,MBNG8,Mace Boulevard,7/22/2021,L,NN,U,NA,300,50,26.8,4,14,30.2,4.7,20.4,KG,-,-,Purple,-,536,Purple,nestling
NA,NA,WEBL,MBNG8,Mace Boulevard,6/16/2022,L,NN,U,NA,300,9,5.3,2,0,18.2,2.3,8.1,VW,-,-,Orange,,1161,Orange,nestling
NA,NA,WEBL,MBNG8,Mace Boulevard,6/16/2022,L,NN,U,NA,300,10,6.3,3,0,18.6,3,8.4,SM,-,-,Blue,,1162,Blue,nestling
NA,NA,WEBL,MBNG8,Mace Boulevard,6/16/2022,L,NN,U,NA,300,9,5.4,2,0,18.2,2.6,8.1,VW,-,-,Red,,1163,Red,nestling
NA,NA,WEBL,MBNG8,Mace Boulevard,6/16/2022,L,NN,U,NA,300,7,3.7,2,0,17.1,2.5,6.8,SM,-,-,Purple,,1164,Purple,nestling
2941-94430,NA,WEBL,MBNG8,Mace Boulevard,6/16/2022,AHY,PL,F,PL,334,100,27.6,3,57,36.6,9,20.9,KL,SV/GY,WH/OR,,B284,1349,2941-94430,adult
2941-94431,NA,WEBL,MBNG8,Mace Boulevard,6/16/2022,AHY,PL,M,PL,334,105,26.4,3,65,35.4,8.9,20.8,KL,GY/SV,WH/OR,poop only,B285,1350,2941-94431,adult
NA,NA,WEBL,MBNG8,Mace Boulevard,6/22/2022,L,NN,U,NA,300,29,19.8,3,4,27,4.2,18.9,KL,-,-,Blue,B291,1187,Blue,nestling
NA,NA,WEBL,MBNG8,Mace Boulevard,6/22/2022,L,NN,U,NA,300,25,21,4,2,26.3,4,17.7,KL,-,-,Orange,B292,1188,Orange,nestling
NA,NA,WEBL,MBNG8,Mace Boulevard,6/22/2022,L,NN,U,NA,300,20,18.7,4,1,25.8,3.8,17.1,KL,-,-,Purple,B293,1189,Purple,nestling
NA,NA,WEBL,MBNG8,Mace Boulevard,6/22/2022,L,NN,U,NA,300,28,22.1,5,4,27.3,4.3,17.9,KL,-,-,Red,,1190,Red,nestling
2941-94432,NA,WEBL,MBNG8,Mace Boulevard,6/28/2022,L,NN,F,PL,334,56,23.2,3,24,31,5.2,19.4,CP,OR/WH,SV/GY,Red,B300,1351,Red,nestling
2941-94433,NA,WEBL,MBNG8,Mace Boulevard,6/28/2022,L,NN,M,PL,334,53,23.4,3,20,31.2,5.1,20.8,KL,OR/WH,SV/GY,Blue,B301,1352,Blue,nestling
2941-94434,NA,WEBL,MBNG8,Mace Boulevard,6/28/2022,L,NN,F,PL,334,52,25,4,17,29.8,4.1,19.1,CP,OR/WH,SV/GY,Orange,B302,1353,Orange,nestling
2941-94435,NA,WEBL,MBNG8,Mace Boulevard,6/28/2022,L,NN,F,PL,334,57,26.7,4,15,30.9,5.2,19.8,CP,OR/WH,SV/GY,Purple,B303,1354,Purple,nestling
NA,NA,TRES,MBNG9,Mace Boulevard,4/26/2022,L,NN,U,NA,300,7,2,4,0,12.7,1.5,4,CP,-,-,Blue,-,913,Blue,nestling
NA,NA,TRES,MBNG9,Mace Boulevard,4/26/2022,L,NN,U,NA,300,8,1.9,4,0,13.1,1.5,5.7,CP,-,-,Green,-,914,Green,nestling
NA,NA,TRES,MBNG9,Mace Boulevard,4/26/2022,L,NN,U,NA,300,8,2.3,4,0,13.1,1.3,4.9,CP,-,-,Red,-,915,Red,nestling
NA,NA,TRES,MBNG9,Mace Boulevard,4/26/2022,L,NN,U,NA,300,7,1.4,4,0,11.9,1.5,4.5,CP,-,-,Orange,-,916,Orange,nestling
NA,NA,TRES,MBNG9,Mace Boulevard,4/26/2022,L,NN,U,NA,300,7,2,3,0,12.5,2,4.1,CP,-,-,Purple,-,917,Purple,nestling
NA,NA,TRES,MBNG9,Mace Boulevard,4/26/2022,L,NN,U,NA,300,6,1.2,4,0,11.2,1.5,4.8,CP,-,-,Pink,-,918,Pink,nestling
2040-38042,NA,TRES,MBNG9,Mace Boulevard,4/26/2022,AHY,PL,F,BP,333,107,20.2,4,54,25.7,5.1,12.3,KL,-,-,,B019,1892,2040-38042,adult
NA,NA,TRES,MBNG9,Mace Boulevard,5/3/2022,L,NN,U,NA,300,25,15.4,3,1,22.2,3.5,13.9,VW,-,-,Pink,B103,1770,Pink,nestling
NA,NA,TRES,MBNG9,Mace Boulevard,5/3/2022,L,NN,U,NA,300,27,16.3,3,0,21.5,3.6,12,PGG,-,-,Green,,1771,Green,nestling
NA,NA,TRES,MBNG9,Mace Boulevard,5/3/2022,L,NN,U,NA,300,20,14.4,2,0,20.5,3.4,10.1,PGG,-,-,Purple,,1772,Purple,nestling
NA,NA,TRES,MBNG9,Mace Boulevard,5/3/2022,L,NN,U,NA,300,25,14,3,1,21.2,3.5,13.2,VW,-,-,Blue,,1773,Blue,nestling
NA,NA,TRES,MBNG9,Mace Boulevard,5/3/2022,L,NN,U,NA,300,20,10.1,3,0,20.6,3.4,11,,-,-,Orange,,1774,Orange,nestling
NA,NA,TRES,MBNG9,Mace Boulevard,5/3/2022,L,NN,U,NA,300,27,14.7,2,0,22.1,3.5,13.7,PGG,-,-,Red,,1775,Red,nestling
2881-65810,NA,TRES,MBNG9,Mace Boulevard,5/7/2022,L,NN,U,NA,333,49,19.4,4,16,24.6,4.1,11.9,KG,-,-,Blue ,B109,1047,Blue ,nestling
2881-65811,NA,TRES,MBNG9,Mace Boulevard,5/7/2022,L,NN,U,NA,333,49,21.4,3,14,25.5,3.8,11.7,KL,-,-,Pink,,1048,Pink,nestling
2881-65812,NA,TRES,MBNG9,Mace Boulevard,5/7/2022,L,NN,U,NA,333,40,21.7,3,8,23.8,3.8,11.5,KL,-,-,Purple,,1049,Purple,nestling
2881-65813,NA,TRES,MBNG9,Mace Boulevard,5/7/2022,L,NN,U,NA,333,51,22.5,4,12,25.1,3.6,10.5,KG,-,-,Green,,1050,Green,nestling
2881-65814,NA,TRES,MBNG9,Mace Boulevard,5/7/2022,L,NN,U,NA,333,42,20.5,4,8,25.2,4.2,12.4,KL,-,-,Orange,,1051,Orange,nestling
2881-65815,NA,TRES,MBNG9,Mace Boulevard,5/7/2022,L,NN,U,NA,333,51,19.4,4,14,25.7,3.7,12.7,KG,-,-,Red,,1052,Red,nestling
NA,NA,TRES,MBNG9,Mace Boulevard,6/22/2022,L,NN,U,NA,300,10,6.1,4,0,16.9,2.2,8.2,KL,-,-,Purple,,1191,Purple,nestling
NA,NA,TRES,MBNG9,Mace Boulevard,6/22/2022,L,NN,U,NA,300,16,9.5,4,0,18.6,2.9,9.7,KL,-,-,Red,,1192,Red,nestling
NA,NA,TRES,MBNG9,Mace Boulevard,6/22/2022,L,NN,U,NA,300,9,4.1,4,0,15.9,2.3,7.1,KL,-,-,Blue,,1193,Blue,nestling
NA,NA,TRES,MBNG9,Mace Boulevard,6/22/2022,L,NN,U,NA,300,13,7.5,4,0,18,2.7,9.7,KL,-,-,Pink,,1194,Pink,nestling
NA,NA,TRES,MBNG9,Mace Boulevard,6/22/2022,L,NN,U,NA,300,14,8.1,4,0,18.9,2.7,10.2,KL,-,-,Yellow,,1195,Yellow,nestling
NA,NA,TRES,MBNG9,Mace Boulevard,6/28/2022,L,NN,U,NA,300,39,17.5,3,8,23.7,4.1,12.1,KL,-,-,Pink,B304,1385,Pink,nestling
NA,NA,TRES,MBNG9,Mace Boulevard,6/28/2022,L,NN,U,NA,300,40,16.4,4,8,24.8,3.6,12,KL,-,-,Yellow,,1386,Yellow,nestling
NA,NA,TRES,MBNG9,Mace Boulevard,6/28/2022,L,NN,U,NA,300,43,18.7,3,10,23.9,3.8,11.1,KL,-,-,Red,B305,1387,Red,nestling
NA,NA,TRES,MBNG9,Mace Boulevard,6/28/2022,L,NN,U,NA,300,35,14.8,3,6,23.2,3.7,11.6,KL,-,-,Purple,,1388,Purple,nestling
NA,NA,TRES,MBNG9,Mace Boulevard,6/28/2022,L,NN,U,NA,300,29,13.3,4,2,23,3.1,11,KL,-,-,Blue,,1389,Blue,nestling
2881-65741,NA,TRES,MBNG9,Mace Boulevard,7/3/2022,L,NN,U,NA,333,70,18.9,1,23,25.5,4,11.4,KG,-,-,Red,B407,1303,Red,nestling
2881-65742,NA,TRES,MBNG9,Mace Boulevard,7/3/2022,L,NN,U,NA,333,58,13.7,0,17,24.7,4.2,11.2,KG,-,-,Purple,B408,1304,Purple,nestling
2881-65743,NA,TRES,MBNG9,Mace Boulevard,7/3/2022,L,NN,U,NA,333,64,18.4,1,20,25.9,4.1,13,KG,-,-,Yellow,,1305,Yellow,nestling
2881-65744,NA,TRES,MBNG9,Mace Boulevard,7/3/2022,L,NN,U,NA,333,48,13.7,0,13,23.5,3.6,10.7,KG,-,-,Blue,,1306,Blue,nestling
2881-65745,NA,TRES,MBNG9,Mace Boulevard,7/3/2022,L,NN,U,NA,333,63,17,1,20,23.9,4.4,12,KG,-,-,Pink,,1307,Pink,nestling
NA,NA,TRES,MBNG9,Mace Boulevard,7/6/2023,L,NN,U,NA,300,15,9,4,1,19.5,2.8,8.8,KL,-,-,Blue,,2031,Blue,nestling
NA,NA,TRES,MBNG9,Mace Boulevard,7/6/2023,L,NN,U,NA,300,16,10.8,4,1,20,3.2,9.2,KL,-,-,Green,,2032,Green,nestling
NA,NA,TRES,MBNG9,Mace Boulevard,7/6/2023,L,NN,U,NA,300,20,11.5,4,1,20.5,3.3,10.3,KL,-,-,Pink,,2033,Pink,nestling
2881-65802,NA,TRES,MBNG9,Mace Boulevard,7/6/2023,AHY,PL,F,BP,333,106,16,3,55,27.2,5.4,11.6,KL,-,-,,,2095,2881-65802,adult
NA,NA,WEBL,MBNR1,Mace Boulevard,4/28/2022,L,NN,U,NA,300,22,17.9,4,1,27,4.5,17.7,CP,-,-,Red,-,955,Red,nestling
NA,NA,WEBL,MBNR1,Mace Boulevard,4/28/2022,L,NN,U,NA,300,22,20.6,4,1,28,4.6,18.7,KL,-,-,Orange,-,956,Orange,nestling
NA,NA,WEBL,MBNR1,Mace Boulevard,4/28/2022,L,NN,U,NA,300,24,18.4,4,2,27,5,18.8,KL,-,-,Blue,-,957,Blue,nestling
NA,NA,WEBL,MBNR1,Mace Boulevard,4/28/2022,L,NN,U,NA,300,23,19.6,3,1,28.2,4.4,18.8,CP,-,-,Pink,-,958,Pink,nestling
NA,NA,WEBL,MBNR1,Mace Boulevard,4/28/2022,L,NN,U,NA,300,22,18.8,3,1,27.4,4.7,18,KL,-,-,Yellow,-,959,Yellow,nestling
2941-94506,NA,WEBL,MBNR1,Mace Boulevard,5/2/2022,L,NN,U,NA,333,39,20.7,3,9,27.9,3.7,20.3,CP,-,-,Orange ,B106,743,Orange ,nestling
2941-94507,NA,WEBL,MBNR1,Mace Boulevard,5/2/2022,L,NN,F,PL,333,41,21.5,2,11,29.5,5,18.8,PGG,-,-,Red, B107,744,Red,nestling
2941-94508,NA,WEBL,MBNR1,Mace Boulevard,5/2/2022,L,NN,U,NA,333,40,19.4,2,10,28.4,4.1,21,VW,-,-,Pink ,B108,745,Pink ,nestling
2941-94509,NA,WEBL,MBNR1,Mace Boulevard,5/4/2022,AHY,PL,F,PL,333,102,25.7,0,59,35.7,7.7,20.1,KL,-,-,-,B048,746,2941-94509,adult
2941-94559,NA,WEBL,MBNR10,Mace Boulevard,5/19/2023,AHY,PL,F,PL,333,100,28.3,3,58,39.7,9.1,20.3,KL,-,-,,,1568,2941-94559,adult
NA,NA,WEBL,MBNR2,Mace Boulevard,5/19/2021,L,NN,U,NA,300,12,10.2,3,0,22,3,10.7,KL,-,-,Pink,-,270,Pink,nestling
NA,NA,WEBL,MBNR2,Mace Boulevard,5/19/2021,L,NN,U,NA,300,12,9.6,4,0,22.2,2.8,10.3,KL,-,-,Blue,-,271,Blue,nestling
NA,NA,WEBL,MBNR2,Mace Boulevard,5/19/2021,L,NN,U,NA,300,12,8.4,4,0,20.8,2.7,9.7,KL,-,-,Purple,-,272,Purple,nestling
NA,NA,WEBL,MBNR2,Mace Boulevard,5/19/2021,L,NN,U,NA,300,11,9.7,4,0,21.8,2.8,10.8,KL,-,-,Green,-,273,Green,nestling
NA,NA,WEBL,MBNR2,Mace Boulevard,5/19/2021,L,NN,U,NA,300,10,9.9,3,0,21,2.2,11.6,KL,-,-,Yellow,-,274,Yellow,nestling
NA,NA,WEBL,MBNR2,Mace Boulevard,5/26/2021,L,NN,U,NA,300,31,20.1,3,3,28.1,4.4,19.3,KL,-,-,Purple,-,312,Purple,nestling
NA,NA,WEBL,MBNR2,Mace Boulevard,5/26/2021,L,NN,U,NA,300,35,23.2,3,6,29.2,4.6,19.8,KL,-,-,Yellow,-,313,Yellow,nestling
NA,NA,WEBL,MBNR2,Mace Boulevard,5/26/2021,L,NN,U,NA,300,37,24.1,3,6,29,4.6,19.1,KL,-,-,Blue,-,314,Blue,nestling
NA,NA,WEBL,MBNR2,Mace Boulevard,5/26/2021,L,NN,U,NA,300,37,26,3,8,29.7,4.2,20,KL,-,-,Pink,-,315,Pink,nestling
NA,NA,WEBL,MBNR2,Mace Boulevard,5/26/2021,L,NN,U,NA,300,34,24.1,3,6,28.2,4.5,20.9,KL,-,-,Green,-,316,Green,nestling
2941-18436,NA,WEBL,MBNR2,Mace Boulevard,5/31/2021,L,NN,M,PL,333,61,22.8,3,27,30.9,5.2,20.2,KL,-,-,Yellow,-,579,Yellow,nestling
2941-18437,NA,WEBL,MBNR2,Mace Boulevard,5/31/2021,L,NN,F,PL,333,61,24.6,4,25,31.7,5.6,19.1,KL,-,-,Blue,-,580,Blue,nestling
2941-18438,NA,WEBL,MBNR2,Mace Boulevard,5/31/2021,L,NN,F,PL,333,57,24.2,3,25,31.5,5.7,21,KL,-,-,Green,-,581,Green,nestling
2941-18439,NA,WEBL,MBNR2,Mace Boulevard,5/31/2021,L,NN,M,PL,333,55,22.3,3,20,31.2,4.9,20,KL,-,-,Purple,-,582,Purple,nestling
2941-18440,NA,WEBL,MBNR2,Mace Boulevard,5/31/2021,L,NN,F,PL,333,60,25.7,3,26,31.9,5.5,20.3,KL,-,-,Pink,-,583,Pink,nestling
NA,NA,WEBL,MBNR2,Mace Boulevard,5/9/2023,L,NN,U,NA,300,8,5,4,0,17,2.3,7.4,KL,-,-,Red,,1479,Red,nestling
NA,NA,WEBL,MBNR2,Mace Boulevard,5/9/2023,L,NN,U,NA,300,8,4.6,4,0,17,2,7.1,KL,-,-,Purple,,1480,Purple,nestling
NA,NA,WEBL,MBNR2,Mace Boulevard,5/9/2023,L,NN,U,NA,300,8,4.4,4,0,17.1,2,7.4,KL,-,-,Blue,,1481,Blue,nestling
NA,NA,WEBL,MBNR2,Mace Boulevard,5/9/2023,L,NN,U,NA,300,8,4.1,4,0,17.4,2.3,6.1,KL,-,-,Pink,,1482,Pink,nestling
NA,NA,WEBL,MBNR2,Mace Boulevard,5/9/2023,L,NN,U,NA,300,7,3.7,4,0,16.7,2.1,7.4,KL,-,-,Green,,1483,Green,nestling
2941-94509,NA,WEBL,MBNR2,Mace Boulevard,5/9/2023,AHY,PL,F,PL,334,103,29.1,3,59,35.7,8.1,20.8,KL,GY/OR,SV/WH,,B361,2076,2941-94509,adult
NA,NA,WEBL,MBNR2,Mace Boulevard,5/16/2023,L,NN,U,NA,300,25,20.7,4,2,27.8,4.3,18.7,KL,-,-,Pink,,1507,Pink,nestling
NA,NA,WEBL,MBNR2,Mace Boulevard,5/16/2023,L,NN,U,NA,300,27,21,4,2,28.1,4.3,19.5,KL,-,-,Red,,1508,Red,nestling
NA,NA,WEBL,MBNR2,Mace Boulevard,5/16/2023,L,NN,U,NA,300,26,21.3,4,2,28.2,4,19.1,KL,-,-,Green,,1509,Green,nestling
NA,NA,WEBL,MBNR2,Mace Boulevard,5/16/2023,L,NN,U,NA,300,30,23.7,4,3,29.3,4,20.5,KL,-,-,Purple,B371,1510,Purple,nestling
NA,NA,WEBL,MBNR2,Mace Boulevard,5/16/2023,L,NN,U,NA,300,27,22.8,4,2,28.8,4.2,18.7,KL,-,-,Blue,B372,1511,Blue,nestling
2941-18795,NA,WEBL,MBNR2,Mace Boulevard,5/19/2023,AHY,PL,M,PL,334,105,24.9,3,64,36.3,8.7,20.9,KL,BU/OR,BU/SV,,,2080,2941-18795,adult
2941-94566,NA,WEBL,MBNR2,Mace Boulevard,5/22/2023,L,NN,M,PL,333,57,25.9,2,22,31.2,5.2,20.3,KL,-,-,Blue,B384,1575,Blue,nestling
2941-94567,NA,WEBL,MBNR2,Mace Boulevard,5/22/2023,L,NN,M,PL,333,56,27,3,22,32.4,5.6,21.4,KL,-,-,Purple,B385,1576,Purple,nestling
2941-94568,NA,WEBL,MBNR2,Mace Boulevard,5/22/2023,L,NN,F,PL,333,53,22.7,4,20,30.8,5.1,20.9,KL,-,-,Green,,1577,Green,nestling
2941-94569,NA,WEBL,MBNR2,Mace Boulevard,5/22/2023,L,NN,F,PL,333,52,23.4,3,18,31.4,5.3,20.9,KL,-,-,Pink,,1578,Pink,nestling
2941-94570,NA,WEBL,MBNR2,Mace Boulevard,5/22/2023,L,NN,F,PL,333,52,22.2,3,19,31.4,5.6,20.9,KL,-,-,Red,,1579,Red,nestling
NA,NA,TRES,MBNR2,Mace Boulevard,6/24/2023,L,NN,U,NA,300,7,2.5,4,0,13,1.7,5.9,KL,-,-,Pink,,1965,Pink,nestling
NA,NA,TRES,MBNR2,Mace Boulevard,6/24/2023,L,NN,U,NA,300,7,2.5,4,0,13.1,1.7,5.1,KL,-,-,Purple,,1966,Purple,nestling
NA,NA,TRES,MBNR2,Mace Boulevard,6/24/2023,L,NN,U,NA,300,7,2.5,4,0,12.8,1.8,5.4,KL,-,-,Red,,1967,Red,nestling
NA,NA,TRES,MBNR2,Mace Boulevard,6/24/2023,L,NN,U,NA,300,6,1.7,4,0,11.8,1.5,4.7,KL,-,-,Blue,,1968,Blue,nestling
2881-65914,NA,TRES,MBNR2,Mace Boulevard,6/27/2023,SY,PL,F,BP,333,108,16,3,54,27.5,5,12.2,KL,-,-,,B513,1923,2881-65914,adult
NA,NA,TRES,MBNR2,Mace Boulevard,6/28/2023,L,NN,U,NA,300,15,9.8,5,0,19.4,3,10.6,KL,-,-,Pink,,1972,Pink,nestling
NA,NA,TRES,MBNR2,Mace Boulevard,6/28/2023,L,NN,U,NA,300,16,9.2,5,0,18.7,2.6,10.2,RK,-,-,Purple,,1973,Purple,nestling
NA,NA,TRES,MBNR2,Mace Boulevard,6/28/2023,L,NN,U,NA,300,16,9.6,5,0,18.8,2.6,9.9,KL,-,-,Red,,1974,Red,nestling
NA,NA,TRES,MBNR2,Mace Boulevard,6/28/2023,L,NN,U,NA,300,13,7.1,5,0,17.7,2.6,8.5,KL,-,-,Blue,,1975,Blue,nestling
2881-65927,NA,TRES,MBNR2,Mace Boulevard,7/4/2023,L,NN,U,NA,333,37,14.4,4,10,22.6,3.5,12,RK,-,-,Pink,B540,1936,Pink,nestling
2881-65928,NA,TRES,MBNR2,Mace Boulevard,7/4/2023,L,NN,U,NA,333,38,15,4,9,22.4,3.5,11.8,RK,-,-,Purple,B541,1937,Purple,nestling
2881-65929,NA,TRES,MBNR2,Mace Boulevard,7/4/2023,L,NN,U,NA,333,38,14.7,5,10,22.8,3.1,11.9,RK,-,-,Red,B542,1938,Red,nestling
2881-65930,NA,TRES,MBNR2,Mace Boulevard,7/4/2023,L,NN,U,NA,333,34,12.8,5,6,22.5,3.5,11.4,KL,-,-,Blue,,1939,Blue,nestling
NA,NA,WEBL,MBNR4,Mace Boulevard,4/28/2022,L,NN,U,NA,300,12,12.1,4,0,22.5,3.2,12.4,KL,-,-,Purple,-,951,Purple,nestling
NA,NA,WEBL,MBNR4,Mace Boulevard,4/28/2022,L,NN,U,NA,300,12,11.2,3,0,23.4,3.7,13.8,CP,-,-,Blue,-,952,Blue,nestling
NA,NA,WEBL,MBNR4,Mace Boulevard,4/28/2022,L,NN,U,NA,300,12,11,4,0,23.7,3.9,11.3,KL,-,-,Red,-,953,Red,nestling
NA,NA,WEBL,MBNR4,Mace Boulevard,4/28/2022,L,NN,U,NA,300,11,9.6,3,0,22.7,3.4,12.1,CP,-,-,Green,-,954,Green,nestling
NA,NA,WEBL,MBNR4,Mace Boulevard,5/3/2022,L,NN,U,NA,300,26,20.7,4,1,28,3.6,19.9,KG,-,-,Yellow,,1781,Yellow,nestling
NA,NA,WEBL,MBNR4,Mace Boulevard,5/3/2022,L,NN,U,NA,300,31,22.1,4,3,28,4,19.1,VW,-,-,Purple,,1782,Purple,nestling
NA,NA,WEBL,MBNR4,Mace Boulevard,5/3/2022,L,NN,U,NA,300,22,21.3,4,2,29.1,4.9,19.4,PGG,-,-,Red,,1783,Red,nestling
NA,NA,WEBL,MBNR4,Mace Boulevard,5/3/2022,L,NN,U,NA,300,31,20.1,3,2,28,4.5,23,KG,-,-,Blue,,1784,Blue,nestling
NA,NA,WEBL,MBNR4,Mace Boulevard,5/4/2022,L,NN,U,NA,300,-,-,-,-,-,-,-,KL,-,-,Yellow,B045,1722,Yellow,nestling
NA,NA,WEBL,MBNR4,Mace Boulevard,5/4/2022,L,NN,U,NA,300,-,-,-,-,-,-,-,KL,-,-,Purple,B046,1723,Purple,nestling
NA,NA,WEBL,MBNR4,Mace Boulevard,5/4/2022,L,NN,U,NA,300,-,-,-,-,-,-,-,KL,-,-,Blue,,1724,Blue,nestling
NA,NA,WEBL,MBNR4,Mace Boulevard,5/4/2022,L,NN,U,NA,300,-,-,-,-,-,-,-,KL,-,-,Red,B047,1725,Red,nestling
2941-94413,NA,WEBL,MBNR4,Mace Boulevard,5/10/2022,L,NN,M,PL,333,62,26.2,4,23,32.2,5.2,21.3,VW,-,-,Purple,B090,1332,Purple,nestling
