Timestamp,date,observer,site,box,action,equipment_name,hobo_position,readout,battery_status,memory_status,equipment_type,card_deployed,card_collected,battery_status,memory_status,
5/7/2021 10:28,5/7/2021,"KL, KG",RRR,RRRR3,deploy,RRRR3-I,inside,NA,100,0,hobo,,,,,
5/7/2021 10:29,5/7/2021,"KL, KG",RRR,RRRR3,deploy,RRRR3-O,outside,NA,100,0,hobo,,,,,
5/7/2021 12:38,5/7/2021,KL KG,PIC,PICG10,deploy,PICG10-I,inside,NA,100,0,hobo,,,,,
5/7/2021 12:39,5/7/2021,KL KG,PIC,PICG10,deploy,PICG10-O,outside,NA,100,0,hobo,,,,,
5/7/2021 16:09,5/7/2021,"KL, KG",MBN,MBNR5,deploy,MBNR5-I,inside,NA,100,0,hobo,,,,,
5/7/2021 16:10,5/7/2021,"KL, KG",MBN,MBNR5,deploy,MBNR-O,outside,NA,100,0,hobo,,,,,
5/7/2021 16:22,5/7/2021,"KL, KG",MBN,MBNR9,deploy,MBNR9-I,inside,NA,100,0,hobo,,,,,
5/7/2021 16:22,5/7/2021,"KL, KG",MBN,MBNR9,deploy,MBNR9-O,outside,NA,100,0,hobo,,,,,
5/7/2021 16:33,5/7/2021,KL KG,MBN,MBNR2,deploy,MBNR2-I,inside,NA,100,0,hobo,,,,,
5/7/2021 16:33,5/7/2021,KL KG,MBN,MBNR2,deploy,MBNR2-O,outside,NA,100,0,hobo,,,,,
5/13/2021 12:22,5/13/2021,"KL, KG",RRR,RRRG1,data download,cam1,,,,,camera,card4,cam1,full,empty,
5/13/2021 15:55,5/13/0021,KL KG,MCN,MCO8,deploy,MCO8-O,outside,NA,100,0,hobo,,,,,
5/13/2021 15:57,5/13/2021,"KL, KG",MCN,MCO8,deploy,MCO8-I,inside,NA,100,0,hobo,,,,,
5/13/2021 16:02,5/13/0021,KL KG,MCN,MCO1,deploy,MCO1-I,inside,NA,100,0,hobo,,,,,
5/13/2021 16:03,5/13/0021,KL KG,MCN,MCO1,deploy,MCO1-O,outside,NA,100,0,hobo,,,,,
