Comments,Site,Nestbox,Attempt No. ,Species,Male ID,Female ID,First Egg Date,First Egg Date Certainty,Clutch Size,Incubation Begins Date,Eggs Hatched,Eggs Failed-to-Hatch,Eggs Abandoned,Eggs Depredated,Eggs Destroyed,Egg Unknown Fate,Brood Size,Hatch Date,HD Observed or Estimated?,Earliest Target Banding Date,Latest Target Banding Date,Date Banded,Nestlings Fledging,Nestlings Perishing,Nestlings Abandoned,Nestlings Depredated,Nestlings Destroyed,BAND numbers of Nestlings,Notes
,Mace Blvd,MBNE2,1,WEBL,unbanded  ,unbanded,4/25/2021,Estimated,5,4/28/2021,5,0,0,0,0,0,5,5/9/2021,Estimated ,5/23/2021,5/25/2021,5/25/2021,2,3,0,0,0,,"1 gone on banding day, 2 more found dead at fledge check"
,Mace Blvd,MBNE3,1,WEBL,unbanded,unbanded,5/1/2021,Confirmed,5,,5,0,0,0,0,0,5,5/16/2021,Estimated,5/29/2021,5/31/2021,6/1/2021,5,0,0,0,0,,
,Mace Blvd,MBNE3,2,WEBL,unbanded,unbanded,6/27/2021,Estimated,4,6/30/2021,,,,,,3,,,,,,,,,,,,,
,McNamara Orchard,MCE1,1,WEBL,,,5/14/2021,Confirmed,5,5/22/2021,4,1,0,0,0,0,4,6/1/2021,Estimated,,,-,,1,,,,,Taken to Wildlife Care Association for rehabilitation; nestlings likely abandoned from lumber activity in orchard
,McNamara Orchard,MCE1,2,ATFL,,,6/15/2021,Confirmed,4,,4,0,0,0,0,0,4,6/30/2021,Estimated,7/11/2021,7/13/2021,,,,,,,,
,McNamara Orchard,MCE1.5,3,TRES,unbanded?,unbanded? SY,5/27/2021,Confirmed,5,5/31/2021,0,0,5,0,0,0,0,,,,,,,,,,,,
,McNamara Orchard,MCE2,1,WEBL,"BE/GN right, BE/SV left",unbanded,5/21/2021,Estimated,5,5/22/2021,5,0,0,0,0,0,5,6/8/2021,Estimated,6/22/2021,6/24/2021,-,0,5,0,0,0,,Found 3 small skeletons in nest 6/17/21
,McNamara Orchard,MCE3,3,TRES,1 banded M or F,,5/21/2021,Confirmed,4,5/29/2021,4,0,0,0,0,0,4,6/7/2021,Estimated,6/19/2021,6/21/2021,6/21/2021,,1,,,,,
HOBO loggers,McNamara Orchard,MCE4,1,TRES,,,4/27/2021,Estimated,5,5/1/2021,4,1,0,0,0,0,4,5/10/2021,Estimated,5/21/2021,5/23/2021,-,0,0,0,0,4,,"HOSP took over. 2 dead nestlings found on ground: purple nails w/ WC 34, and green nails w/ WC 38."
HOBO loggers (left in),McNamara Orchard,MCE4,2,HOSP,,,5/23/2021,Confirmed,2,,0,0,0,0,2,0,0,-,,,,-,,,,,,,Purposefully destroyed eggs
,McNamara Orchard,MCE5,1,TRES,,,5/9/2021,Estimated,6,5/9/2021,4,1,0,0,0,0,5,5/28/2021,Estimated,6/7/2021,6/9/2021,-,0,0,0,5,0,,
HOBO loggers,McNamara Orchard,MCO1,1,WEBL,unbanded,unbanded,4/28/2021,Confirmed,5,5/9/2021,2,0,0,0,0,3,2,5/13/2021,Estimated ,5/27/2021,5/29/2021,5/28/2021,1,0,0,1,0,,"5 eggs seen 5/13/21, then 1 dead nestling and 1 live nestling seen 5/20/21, apparent predation. Unknown if other eggs hatched before predation. HOSP nest seen after fledging period, but no sign of last WEBL chick, assumed fledged."
,McNamara Orchard,MCO10,1,WEBL,,,5/20/2021,Estimated,3,5/22/2021,3,0,0,0,0,0,3,6/3/2021,Estimated,,,-,3?,,,,,,Taken to Wildlife Care Association for rehabilitation; tree cut down and nestlings likely abandoned
,McNamara Orchard,MCO2,1,TRES,,,5/11/2021,Estimated,5,5/15/2021,5,0,0,0,0,0,5,5/21/2021,Estimated  ,6/1/2021,6/3/2021,6/3/2021,5,0,0,0,0,,
,McNamara Orchard,MCO2,2,HOSP,,,7/3/2021,Estimated,1,7/3/2021,0,0,0,0,1,0,0,,,,,,0,0,0,0,0,,Purposefully destroyed eggs
,McNamara Orchard,MCO5,1,WEBL,,,5/14/2021,Confirmed,3,5/16/2021,3,0,0,0,0,0,3,5/30/2021,Estimated ,,,-,3?,,,,,,Taken to Wildlife Care Association for rehabilitation; tree cut down and nestlings likely abandoned
,McNamara Orchard,MCO6,1,WEBL,"RD/BE right, SV/WH left",unbanded,4/18/2021,Estimated,5,4/22/2021,4,0,0,0,0,0,4,5/6/2021,Estimated,5/16/2021,5/18/2021,5/18/2021,4,0,0,0,0,,
,McNamara Orchard,MCO7,1,WEBL,,,5/21/2021,Confirmed,4,5/24/2021,0,0,0,0,4,0,0,-,,,,-,,,,,,,"May have hatched. Tree cut down, box not found 6/5/21"
HOBO loggers,McNamara Orchard,MCO8,2,TRES,,,5/5/2021,Estimated,5,5/9/2021,5,0,0,0,0,0,5,5/17/2021,Estimated ,5/29/2021,5/31/2021,6/1/2021,2?,3?,0,0,0,,"Mites on banding day, used DE. Tree cut down, box found crushed on 6/5/21, two nestlings caught and taken to WCA"
,Picnic Grounds,PCC1,1,WEBL,"OR/SV left, WH/BE right",,5/7/2021,Estimated,4,5/10/2021,3,0,0,0,0,1,3,5/23/2021,Estimated ,6/6/2021,6/8/2021,6/6/2021,,,,,,,
,Picnic Grounds,PCC10,1,TRES,1 banded M or F,,4/20/2021,Estimated,5,4/24/2021,5,0,0,0,0,0,5,4/29/2021,Estimated,5/11/2021,5/13/2021,5/13/2021,5,0,0,0,0,5,
,Picnic Grounds,PCC10,2,TRES,,,6/3/2021,Estimated ,4,6/6/2021,4,0,0,0,0,0,4,6/20/2021,Confirmed,7/2/2021,7/4/2021,,,,,,,,
,Picnic Grounds,PCC11,1,TRES,1 banded M or F,,4/16/2021,Confirmed,6,4/21/2021,6,0,0,0,0,0,6,5/4/2021,Estimated,5/16/2021,5/18/2021,5/18/2021,6,0,0,0,0,6,
,Picnic Grounds,PCC11,2,TRES,1 banded M or F,,6/18/2021,Estimated,3,6/20/2021,3,0,0,0,0,0,0,7/3/2021,estimated,7/15/2021,7/17/2021,,,,,,,,
,Picnic Grounds,PCC12,1,TRES,,,4/28/2021,Estimated,5,5/2/2021,5,0,0,0,0,0,5,5/13/2021,Estimated,5/25/2021,5/27/2021,5/29/2021,5,0,0,0,0,5,
